/root/experiments/PEMS04/20220811215513
2022-08-11 21:55: Experiment log path in: /root/experiments/PEMS04/20220811215513
load saved model...
2022-08-11 21:55: Horizon 01, MAE: 17.38, RMSE: 27.99, MAPE: 11.6454%
2022-08-11 21:55: Horizon 02, MAE: 17.88, RMSE: 28.92, MAPE: 11.9114%
2022-08-11 21:55: Horizon 03, MAE: 18.27, RMSE: 29.60, MAPE: 12.1005%
2022-08-11 21:55: Horizon 04, MAE: 18.51, RMSE: 30.07, MAPE: 12.2299%
2022-08-11 21:55: Horizon 05, MAE: 18.77, RMSE: 30.52, MAPE: 12.3966%
2022-08-11 21:55: Horizon 06, MAE: 19.01, RMSE: 30.92, MAPE: 12.5357%
2022-08-11 21:55: Horizon 07, MAE: 19.25, RMSE: 31.31, MAPE: 12.6992%
2022-08-11 21:55: Horizon 08, MAE: 19.48, RMSE: 31.67, MAPE: 12.8512%
2022-08-11 21:55: Horizon 09, MAE: 19.72, RMSE: 32.05, MAPE: 13.0019%
2022-08-11 21:55: Horizon 10, MAE: 19.98, RMSE: 32.47, MAPE: 13.1462%
2022-08-11 21:55: Horizon 11, MAE: 20.26, RMSE: 32.84, MAPE: 13.3169%
2022-08-11 21:55: Horizon 12, MAE: 20.58, RMSE: 33.27, MAPE: 13.5595%
2022-08-11 21:55: Average Horizon, MAE: 19.09, RMSE: 31.01, MAPE: 12.6162%
